project_path,scope,package,version
.,go:dependencies,github.com/davecgh/go-spew,v1.1.1
.,go:dependencies,github.com/pmezard/go-difflib,v1.0.0
.,go:dependencies,github.com/smacker/go-tree-sitter,v0.0.0-20240827094217-dd81d9e9be82
.,go:dependencies,github.com/stretchr/testify,v1.10.0
.,go:dependencies,golang.org/x/net,v0.53.0
.,go:dependencies,gopkg.in/yaml.v3,v3.0.1
tests/sample-site,devDependencies,eslint,9.12.0
tests/sample-site,dependencies,lodash,4.18.1
tests/sample-site,dependencies,next,15.5.15
tests/sample-site,dependencies,react,19.1.0
tests/sample-site,dependencies,react-dom,19.1.1
tests/sample-site,devDependencies,vite,6.4.2
tests/sample-vue,dependencies,nuxt,3.19.0
tests/sample-vue,dependencies,pinia,2.2.4
tests/sample-vue,devDependencies,typescript,5.6.3
tests/sample-vue,devDependencies,vite,6.4.2
tests/sample-vue,dependencies,vue,3.5.12
